ID_Pelicula,titulo,año,genero,director,popularidad
352,Torch Song Trilogy,1988,Drama,Paul Bogart,5.672
354,Amici per la pelle,1955,Romantic,Franco Rossi,2.633
355,Amici più di prima,1976,Comedy,"Giorgio Simonelli, Marino Girolami, Gianni Grimaldi",1.553
356,Dangerous Company,1982,Drama,Lamont Johnson,3.976
357,Der Amerikanische Freund,1977,Drama,Wim Wenders,8.249
358,L'ami de mon amie,1987,Comedy,Eric Rohmer,6.071
359,Les noces rouges,1972,Drama,Claude Chabrol,4.533
360,Fish Hawk,1980,Adventure,Donald Shebib,0.966
361,Too Hot to Handle,1938,Comedy,Jack Conway,5.247
364,The Amityville Horror,1979,Horror,Stuart Rosenberg,18.187
367,Hamlet,1991,Drama,Franco Zeffirelli,12.52
369,Jack the Giant Killer,1962,Adventure,Nathan Juran,6.701
370,Ammazzali tutti e torna solo,1968,Western,Enzo G. Castellari,2.539
371,The Incredible Mr. Limpet,1963,Fantasy,Arthur Lubin,9.392
372,Secret Admirer,1985,Comedy,David Greenwalt,11.332
373,L'ammiratrice,1983,Romantic,Romano Scandariato,1.204
374,L'ammutinamento,1961,Adventure,Silvio Amadio,0.727
375,Amo te sola,1935,Comedy,Mario Mattòli,0.6
377,L'amore,1948,Drama,Roberto Rossellini,5.299
378,Un amore a Roma,1960,Drama,Dino Risi,1.786
379,Hot Chocolate,1992,Comedy,Josée Dayan,2.362
380,Love at First Bite,1979,Comedy,Stan Dragoti,8.026
382,Un amore americano,1992,Romantic,Piero Schivazappa,1.4
383,L'amore breve,1969,Drama,Romano Scavolini,0.921
384,Love Can Be Murder,1992,Comedy,Jack Bender,1.806
385,Wishman,1991,Comedy,Michael Marvin,1.874
386,Teen Witch,1989,Comedy,Dorian Walker,7.684
387,Un amour de Swann,1983,Drama,Volker Schlöndorff,2.981
388,L'amore difficile,1963,Comedy,"Alberto Bonucci, Luciano Lucignani, Sergio Sollima, Nino Manfredi",1.4
389,Amore e chiacchiere,1957,Comedy,Alessandro Blasetti,1.051
390,Amore e ginnastica,1973,Romantic,Luigi Filippo D'Amico,1.4
391,Amore e guai,1958,Comedy,Angelo Dorigo,0.948
392,Flesh and Blood,1985,Adventure,Paul Verhoeven,5.67
393,The Secret Agent,1936,Spy,Alfred Hitchcock,7.469
395,Amore facile,1964,Comedy,Gianni Puccini,1.458
398,Un amore in prima classe,1980,Comedy,Salvatore Samperi,2.979
399,Amore in quattro dimensioni,1964,Comedy,"Jacques Romain, Massimo Mida, Gianni Puccini, Mino Guerrini",1.185
400,Kaiserjäger,1956,Romantic,Kurth Nachmann,2.969
401,Amore mio,1964,Romantic,Raffaello Matarazzo,4.439
402,Amore mio aiutami,1970,Comedy,Alberto Sordi,4.439
404,A Message from Holly,1992,Drama,Rod Holcomb,0.627
405,Liebe ist zollfrei,1941,Comedy,E. W. Emo,1.172
407,Love at Large,1990,Comedy,Alan Rudolph,7.478
409,L'amore primitivo,1966,Comedy,Luigi Scattini,2.38
412,Madeleine,1950,Mélo,David Lean,4.921
413,An Uncommon Love,1983,Drama,Steven Hilliard Stern,0.6
414,Romance on the High Seas,1948,Comedy,Michael Curtiz,5.451
415,The Little Minister,1934,Romantic,Richard Wallace,3.197
416,When I Fall in Love,1988,Romantic,Taylor Hackford,1.4
418,Shattered Dreams,1990,Drama,Robert Iscove,3.527
420,Serpent of the Nile,1953,Mythology,William Castle,1.4
421,Gli amori di Ercole,1959,Mythology,Carlo Ludovico Bragaglia,5.811
422,Gli amori di Manon Lescaut,1954,Drama,Mario Costa,1.096
423,Amori di mezzo secolo,1953,Comedy,"Glauco Pellegrini, Antonio Pietrangeli, Mario Chiari, Pietro Germi, Roberto Rossellini",1.487
424,Amori in corso,1989,Comedy,Giuseppe Bertolucci,0.636
425,Amori miei,1978,Comedy,Steno,3.51
426,In the Cool of the Day,1962,Drama,Robert Stevens,3.114
427,Amsterdamned,1988,Thriller,Dick Maas,5.478
428,Amy,1981,Drama,Vincent McEveety,14.591
429,Anastasia,1956,Comedy,Anatole Litvak,16.981
430,Anatomy of a Murder,1959,Drama,Otto Preminger,13.418
431,L'anatra all'arancia,1975,Comedy,Luciano Salce,4.525
432,Anche gli angeli mangiano fagioli,1973,Comedy,E. B. Clucher (Enzo Barboni),7.565
434,"Anche se volessi lavorare, che faccio?",1972,Comedy,Flavio Mogherini,2.733
435,Another 48 hrs,1990,Crime,Walter Hill,13.664
436,Sweet Hearts Dance,1988,Comedy,Robert Greenwald,3.844
437,Once More With Feeling,1960,Comedy,Stanley Donen,5.81
438,And the Pursuit of Happiness,1986,Documentary,Louis Malle,3.64
439,Andrej Rublëv,1969,Drama,Andrej Tarkovskij,17.853
440,Andremo in città,1966,Drama,Nelo Risi,1.83
441,Android,1982,Fantasy,Aaron Lipstadt,6.033
442,The Andromeda Strain,1971,Fantasy,Robert Wise,17.119
443,Goddess of Love,1988,Comedy,James Drake,6.375
444,Anemia,1986,Drama,"Alberto Abruzzese, Achille Pisanti",0.84
445,Angel Heart,1987,Thriller,Alan Parker,12.205
447,Angel,1984,Thriller,Robert Vincent O'Neil,55.444
448,Angel III: the Final Chapter,1988,Thriller,Tom De Simone,4.613
449,Angela come te,1988,Comedy,Anna Brasi,1.135
450,Pocketful of Miracles,1961,Comedy,Frank Capra,10.555
452,Broken Angel,1988,Drama,Richard T. Heffron,2.419
453,Almost Angels,1962,Musical,Steve Previn,4.905
